"","ID","X","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","flux"
"669","MAR05351",185,"2-hydroxybutyrate[c] + NAD+[c] <=> 2-oxobutyrate[c] + H+[c] + NADH[c]","ENSG00000111716 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989","Butanoate metabolism",151.046758353051
"675","MAR05460",5490,"glycine[c] + serine[e] <=> glycine[e] + serine[c]","ENSG00000103257 or ENSG00000130876 or ENSG00000168003","Transport reactions",1000
"687","MAR05472",5502,"glycine[c] + isoleucine[e] <=> glycine[e] + isoleucine[c]","ENSG00000103257","Transport reactions",1000
"689","MAR05474",5504,"alanine[c] + serine[e] <=> alanine[e] + serine[c]","ENSG00000103257","Transport reactions",1000
"691","MAR05476",5506,"alanine[c] + tryptophan[e] <=> alanine[e] + tryptophan[c]","ENSG00000103257","Transport reactions",1000
"708","MAR05493",5523,"glutamine[c] + leucine[e] <=> glutamine[e] + leucine[c]","ENSG00000103257","Transport reactions",190.558139205777
"712","MAR05497",5527,"glutamine[c] + threonine[e] <=> glutamine[e] + threonine[c]","ENSG00000103257 or ENSG00000130876 or ENSG00000168003","Transport reactions",1000
"716","MAR05501",5531,"serine[c] + tryptophan[e] <=> serine[e] + tryptophan[c]","ENSG00000103257","Transport reactions",1000
"717","MAR05502",5532,"phenylalanine[c] + serine[e] <=> phenylalanine[e] + serine[c]","ENSG00000103257","Transport reactions",1000
"736","MAR05521",5551,"homoserine[c] + methionine[e] <=> homoserine[e] + methionine[c]","ENSG00000103257","Transport reactions",42.0599360388169
"756","MAR05541",5571,"isoleucine[c] + phenylalanine[e] <=> isoleucine[e] + phenylalanine[c]","ENSG00000103257 or ENSG00000165029","Transport reactions",1000
"771","MAR05557",5587,"leucine[c] + proline[e] <=> leucine[e] + proline[c]","ENSG00000103257","Transport reactions",1000
"773","MAR05559",5589,"leucine[c] + valine[e] <=> leucine[e] + valine[c]","ENSG00000103257","Transport reactions",1000
"776","MAR05562",5592,"isoleucine[c] + leucine[e] <=> isoleucine[e] + leucine[c]","ENSG00000103257","Transport reactions",742.752827216313
"777","MAR05563",5593,"asparagine[c] + proline[e] <=> asparagine[e] + proline[c]","ENSG00000103257","Transport reactions",534.476147061354
"786","MAR05572",5602,"threonine[c] + valine[e] <=> threonine[e] + valine[c]","ENSG00000103257","Transport reactions",1000
"790","MAR05576",5606,"isoleucine[c] + threonine[e] <=> isoleucine[e] + threonine[c]","ENSG00000103257","Transport reactions",1000
"791","MAR05577",5607,"homoserine[c] + isoleucine[e] <=> homoserine[e] + isoleucine[c]","ENSG00000103257","Transport reactions",1000
"792","MAR05578",5608,"arginine[c] + lysine[e] <=> arginine[e] + lysine[c]","ENSG00000103064 or ENSG00000103257 or ENSG00000168003","Transport reactions",862.193622710899
"793","MAR05579",5609,"lysine[c] + ornithine[e] <=> lysine[e] + ornithine[c]","ENSG00000103064 or ENSG00000103257","Transport reactions",1000
"802","MAR06001",6028,"acetate[c] + acetoacetate[e] <=> acetate[e] + acetoacetate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"803","MAR06002",6029,"acetoacetate[c] + formate[e] <=> acetoacetate[e] + formate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",848.953241646949
"807","MAR06006",6033,"2-hydroxybutyrate[c] + acetoacetate[e] <=> 2-hydroxybutyrate[e] + acetoacetate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"815","MAR06014",6041,"AKG[c] + pyruvate[e] <=> AKG[e] + pyruvate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"833","MAR06034",6061,"acetate[c] + butyrate[e] <=> acetate[e] + butyrate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"839","MAR06040",6067,"formate[c] + retinoate[e] <=> formate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"906","MAR06638",4641,"11-cis-retinal[c] + H+[c] + NADH[c] <=> 11-cis-retinol[c] + NAD+[c]","ENSG00000025423 or ENSG00000135437 or ENSG00000139547 or ENSG00000140522 or ENSG00000157326 or ENSG00000170786 or ENSG00000187630 or ENSG00000265203","Retinol metabolism",1000
"926","MAR06672",4675,"13-cis-retinal[c] <=> retinal[c]",NA,"Retinol metabolism",0.0279438730509582
"966","MAR07682",6409,"5-formyl-THF[c] + hydroxide[e] <=> 5-formyl-THF[e] + hydroxide[c]","ENSG00000173638","Transport reactions",1000
"970","MAR07686",6413,"hydroxide[c] + thiamin-P[e] <=> hydroxide[e] + thiamin-P[c]","ENSG00000173638","Transport reactions",1000
"990","MAR07864",428,"CDP[n] + UDP[n] <=> CTP[n] + UMP[n]","ENSG00000162368","Nucleotide metabolism",1000
"994","MAR07869",433,"dADP[c] + UDP[c] <=> dATP[c] + UMP[c]","ENSG00000162368","Nucleotide metabolism",1000
"1002","MAR07885",448,"ADP[n] + CTP[n] <=> ATP[n] + CDP[n]","ENSG00000011052 or ENSG00000239672 or ENSG00000243678","Nucleotide metabolism",1000
"1003","MAR07886",449,"ADP[m] + dTTP[m] <=> ATP[m] + dTDP[m]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000155085 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Nucleotide metabolism",997.659569857588
"1026","MAR08451",469,"dCDP[n] + dGDP[n] <=> dCMP[n] + dGTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1028","MAR08453",471,"2 dCDP[n] <=> dCMP[n] + dCTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1035","MAR08461",479,"dCDP[c] + GDP[c] <=> dCMP[c] + GTP[c]","ENSG00000154027","Nucleotide metabolism",0.00843058942973585
"1038","MAR08464",482,"CDP[n] + GDP[n] <=> CMP[n] + GTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1069","MAR08662",1330,"CoA[m] + GTP[m] + itaconate[m] <=> GDP[m] + itaconyl-CoA[m] + Pi[m]","(ENSG00000163541 and ENSG00000172340) or (ENSG00000136143 and ENSG00000163541)","C5-branched dibasic acid metabolism",1000
"1070","MAR08663",1331,"ADP[m] + itaconyl-CoA[m] + Pi[m] <=> ATP[m] + CoA[m] + itaconate[m]","(ENSG00000163541 and ENSG00000172340) or (ENSG00000136143 and ENSG00000163541)","C5-branched dibasic acid metabolism",1000
"1073","MAR08676",6549,"L-carnitine[c] <=> L-carnitine[e]","ENSG00000197208 or ENSG00000197375","Transport reactions",335.430622511553
"1080","MAR08861",6577,"H2O[c] + urea[c] <=> H2O[e] + urea[e]","ENSG00000132874 or ENSG00000141469","Transport reactions",1000
"1081","MAR08867",6582,"D-xylose[c] <=> D-xylose[e]","ENSG00000059804","Transport reactions",1000
"1100","MAR09047",7714,"H2O[e] <=> ",NA,"Exchange/demand reactions",1000
"1113","MAR09072",7736,"Pi[e] <=> ",NA,"Exchange/demand reactions",1000
"1115","MAR09079",7743,"H+[e] <=> ",NA,"Exchange/demand reactions",1000
"1133","MAR09158",7821,"ascorbate[e] <=> ",NA,"Exchange/demand reactions",1000
"1136","MAR09203",7837,"D-xylose[e] <=> ",NA,"Exchange/demand reactions",1000
"1138","MAR09234",7868,"5-methyl-THF[e] <=> ",NA,"Exchange/demand reactions",580.680737471408
"1146","MAR09292",7925,"L-carnitine[e] <=> ",NA,"Exchange/demand reactions",335.430622511553
"1151","MAR09318",7951,"formate[e] <=> ",NA,"Exchange/demand reactions",2.45637559420663
"1157","MAR09358",7991,"hypoxanthine[e] <=> ",NA,"Exchange/demand reactions",635.328094133499
"1173","MAR09440",8071,"UTP[e] <=> ",NA,"Exchange/demand reactions",160.840113665723
"1185","MAR09865",9854,"3-hydroxy-L-kynurenine[e] <=> ",NA,"Exchange/demand reactions",999.83560350612
"1224","MAR11391",11268,"2-oxobutyrate[e] <=> ",NA,"Exchange/demand reactions",151.046758353051
"13","MAR00104",8209,"CoA[m] + hexadecenoylcarnitine(9)[m] <=> (2E)-hexadecenoyl-CoA[m] + L-carnitine[m]","ENSG00000157184","Fatty acid oxidation",488.983769427432
"39","MAR00174",1404,"AMP[c] + octanoyl-CoA[c] + PPi[c] <=> ATP[c] + CoA[c] + octanoic acid[c]","ENSG00000005187 or ENSG00000066813 or ENSG00000166743 or ENSG00000183549 or ENSG00000183747 or ENSG00000215009","Fatty acid activation (cytosolic)",0.00287606027484344
"46","MAR00226",1416,"AMP[c] + palmitoleoyl-CoA[c] + PPi[c] <=> ATP[c] + CoA[c] + palmitolate[c]","ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642","Fatty acid activation (cytosolic)",712.087612524635
"126","MAR00408",5273,"arachidonate[e] => arachidonate[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",1000
"196","MAR00710",1338,"isocitrate[c] + NADP+[c] => AKG[c] + CO2[c] + NADPH[c]","ENSG00000138413 or ENSG00000182054","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",12.5071761013783
"308","MAR02187",8684,"decanoyl-CoA[m] + NADP+[m] <=> (2E)-decenoyl-CoA[m] + H+[m] + NADPH[m]","ENSG00000115425 or ENSG00000116353","Fatty acid oxidation",0.00287606027484344
"314","MAR02284",1647,"H+[c] + myristoyl-CoA[c] + NADPH[c] + O2[c] => 5-tetradecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Fatty acid desaturation (even-chain)",0.00146662613881196
"315","MAR02286",1648,"H+[c] + NADPH[c] + O2[c] + palmitoyl-CoA[c] => 2 H2O[c] + NADP+[c] + palmitoleoyl-CoA[c]","ENSG00000099194 or ENSG00000145284","Fatty acid desaturation (even-chain)",212.706348600405
"317","MAR02303",8724,"AKG[c] + isocitrate[m] <=> AKG[m] + isocitrate[c]","ENSG00000100075","Transport reactions",1000
"320","MAR02352",8749,"dADP[m] + H2O[m] + oxidized thioredoxin[m] => ADP[m] + thioredoxin[m]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Miscellaneous",997.663179230932
"338","MAR02609",2283,"L-carnitine[c] + tetradecanoylcarnitine[m] <=> L-carnitine[m] + tetradecanoylcarnitine[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",0.0531651975319392
"342","MAR02626",2223,"CoA[c] + L-palmitoylcarnitine[c] <=> L-carnitine[c] + palmitoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",488.926261543486
"347","MAR02636",2225,"CoA[c] + palmitoleoyl-carnitine[c] <=> L-carnitine[c] + palmitoleoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",499.46156170533
"393","MAR03032",2266,"CoA[c] + L-octanoylcarnitine[c] <=> L-carnitine[c] + octanoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",0.00287606027484344
"395","MAR03122",2687,"(2E)-hexadecenoyl-CoA[m] + H2O[m] => (S)-3-hydroxyhexadecanoyl-CoA[m]","ENSG00000084754 and ENSG00000113790 and ENSG00000127884","Beta oxidation of even-chain fatty acids (mitochondrial)",0.0575078839456197
"396","MAR03123",2688,"(S)-3-hydroxyhexadecanoyl-CoA[m] + NAD+[m] => 3-oxopalmitoyl-CoA[m] + H+[m] + NADH[m]","ENSG00000072506 and ENSG00000084754 and ENSG00000138796","Beta oxidation of even-chain fatty acids (mitochondrial)",0.0575078839456197
"397","MAR03125",2689,"3-oxopalmitoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + myristoyl-CoA[m]","ENSG00000084754 and ENSG00000138029 and ENSG00000167315","Beta oxidation of even-chain fatty acids (mitochondrial)",0.0575078839456197
"403","MAR03273",8966,"ATP[m] + CoA[m] + palmitolate[m] => AMP[m] + palmitoleoyl-CoA[m] + PPi[m]","ENSG00000068366 or ENSG00000123983 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142","Fatty acid oxidation",499.46156170533
"435","MAR03980",1392,"2 H2O2[c] => 2 H2O[c] + O2[c]","ENSG00000121691","ROS detoxification",736.175301742443
"438","MAR04004",215,"2 ADP[m] <=> AMP[m] + ATP[m]","ENSG00000004455 or ENSG00000085231 or ENSG00000106992 or ENSG00000140057 or ENSG00000147853 or ENSG00000154027 or ENSG00000155085 or ENSG00000162433 or ENSG00000165695 or ENSG00000273841","Purine metabolism",500.498735187883
"440","MAR04008",328,"ADP[c] + UDP[c] <=> ATP[c] + UMP[c]","ENSG00000162368","Pyrimidine metabolism",1000
"445","MAR04028",315,"ADP[c] + CTP[c] <=> ATP[c] + CDP[c]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Pyrimidine metabolism",544.810772418463
"448","MAR04044",309,"ADP[c] + dATP[c] <=> ATP[c] + dADP[c]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Purine metabolism",0.94436550882233
"469","MAR04210",343,"H+[c] + PEP[c] + UDP[c] => pyruvate[c] + UTP[c]","ENSG00000067225 or ENSG00000143627","Pyrimidine metabolism",1000
"489","MAR04332",4501,"dihydrofolate[c] + H+[c] + NADH[c] <=> NAD+[c] + THF[c]","ENSG00000178700 or ENSG00000228716","Folate metabolism",559.949202890652
"495","MAR04354",193,"ribose-1-phosphate[c] <=> ribose-5-phosphate[c]","ENSG00000079739 or ENSG00000169299","Pentose phosphate pathway",253.502309689338
"512","MAR04408",1352,"fumarate[c] + H2O[c] <=> malate[c]","ENSG00000091483","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",9.30230342533389
"514","MAR04410",1353,"fumarate[m] + H2O[m] <=> malate[m]","ENSG00000091483","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",990.576058949305
"519","MAR04444",4509,"5,10-methenyl-THF[m] + NADPH[m] <=> 5,10-methylene-THF[m] + NADP+[m]","ENSG00000065911 or ENSG00000100714 or ENSG00000120254","Folate metabolism",836.175820952601
"524","MAR04456",1355,"citrate[m] <=> isocitrate[m]","ENSG00000100412 or ENSG00000122729","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",12.515606690808
"531","MAR04485",352,"2-deoxy-D-ribose-1-phosphate[c] + thymine[c] <=> Pi[c] + thymidine[c]","ENSG00000025708 or ENSG00000198805","Pyrimidine metabolism",1000
"547","MAR04572",313,"ADP[m] + dGTP[m] => ATP[m] + dGDP[m]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Purine metabolism",1.94080015136751
"557","MAR04612",267,"ADP[c] + thioredoxin[c] => dADP[c] + H2O[c] + oxidized thioredoxin[c]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Purine metabolism",998.365729803127
"558","MAR04614",268,"GTP[c] + thioredoxin[c] => dGTP[c] + H2O[c] + oxidized thioredoxin[c]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Purine metabolism",0.465556851653503
"571","MAR04677",9332,"O-butanoylcarnitine[c] <=> O-butanoylcarnitine[m]","ENSG00000178537","Transport reactions",498.96308568224
"589","MAR04847",5334,"adenine[c] <=> adenine[e]","ENSG00000174669","Transport reactions",35.4625969751785
"594","MAR04861",5338,"inositol[c] <=> inositol[e]","ENSG00000151229","Transport reactions",11.7774776362922
"595","MAR04874",6810,"NH3[c] <=> NH3[m]",NA,"Transport reactions",672.540558947164
"597","MAR04882",5341,"uracil[c] <=> uracil[e]","ENSG00000174669","Transport reactions",833.649401996148
"612","MAR04967",9401,"(2E)-decenoyl-CoA[m] + CoA[m] + H2O[m] + NAD+[m] => acetyl-CoA[m] + H+[m] + NADH[m] + octanoyl-CoA[m]","ENSG00000127884 and ENSG00000138796 and ENSG00000167315","Fatty acid oxidation",0.00287606027487398
"613","MAR04971",6824,"citrate[m] + PEP[c] <=> citrate[c] + PEP[m]","ENSG00000100075","Transport reactions",1000
"614","MAR04972",6825,"citrate[c] + isocitrate[m] <=> citrate[m] + isocitrate[c]","ENSG00000100075","Transport reactions",295.664422618353
"616","MAR04985",5371,"guanine[c] <=> guanine[e]","ENSG00000174669","Transport reactions",996.025617878413
"619","MAR05007",5384,"folate[e] => folate[c]","ENSG00000110195 or ENSG00000110203 or ENSG00000165457","Transport reactions",379.207808450763
"621","MAR05032",5395,"adenosine[c] <=> adenosine[e]","ENSG00000112759 or ENSG00000164638 or ENSG00000174669","Transport reactions",746.497690310662
"623","MAR05034",5396,"thymidine[c] <=> thymidine[e]","ENSG00000112759 or ENSG00000174669","Transport reactions",999.996390626656
"628","MAR05071",5406,"lysine[e] => lysine[c]","ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349","Transport reactions",1000
"638","MAR05094",5422,"ornithine[e] => ornithine[c]","ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349","Transport reactions",1000
"640","MAR05116",6852,"phenylalanine[m] + H+[i] => H+[m] + phenylalanine[c]",NA,"Transport reactions",974.508687418212
"752","MAR05537",5567,"asparagine[c] + phenylalanine[e] <=> asparagine[e] + phenylalanine[c]","ENSG00000103257 or ENSG00000165029","Transport reactions",448.023060864844
"819","MAR06018",6045,"L-lactate[c] + pyruvate[e] <=> L-lactate[e] + pyruvate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"845","MAR06047",6074,"(R)-3-hydroxybutanoate[c] + acetoacetate[e] <=> (R)-3-hydroxybutanoate[e] + acetoacetate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",848.953241646949
"864","MAR06333",6917,"ATP[m] + dGDP[c] => ATP[c] + dGDP[m]","ENSG00000125454","Transport reactions",997.659569857588
"896","MAR06571",4440,"1D-myo-inositol-3-phosphate[c] + H2O[c] => inositol[c] + Pi[c]","ENSG00000104331 or ENSG00000133731 or ENSG00000141401","Inositol phosphate metabolism",13.1119902487518
"897","MAR06572",4441,"glucose-6-phosphate[c] => 1D-myo-inositol-3-phosphate[c]","ENSG00000105655","Inositol phosphate metabolism",13.1119902487518
"954","MAR06912",1386,"H2O[m] + PPi[m] => H+[m] + 2 Pi[m]","ENSG00000107902 or ENSG00000138777 or ENSG00000143363 or ENSG00000180817","Oxidative phosphorylation",500.484297694506
"983","MAR07818",6963,"dGDP[c] + dTDP[m] <=> dGDP[m] + dTDP[c]","ENSG00000125454","Transport reactions",2.34043014241229
"991","MAR07865",429,"2 UDP[c] <=> UMP[c] + UTP[c]","ENSG00000162368","Nucleotide metabolism",1000
"1018","MAR08356",7015,"acetaldehyde[c] <=> acetaldehyde[m]",NA,"Transport reactions",1000
"1019","MAR08357",11,"acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m]","ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904","Glycolysis / Gluconeogenesis",1000
"1048","MAR08486",502,"adenosine[c] + Pi[c] <=> adenine[c] + ribose-1-phosphate[c]","ENSG00000198805","Nucleotide metabolism",253.502309689338
"1078","MAR08743",1371,"FADH2[m] + fumarate[m] <=> FAD[m] + succinate[m]","ENSG00000073578 and ENSG00000117118 and ENSG00000143252 and ENSG00000204370","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",0.00360937334426126
"1088","MAR09026",9786,"SAH[e] <=> ",NA,"Exchange/demand reactions",327.624129283987
"1111","MAR09069",7733,"serine[e] <=> ",NA,"Exchange/demand reactions",385.224110596523
"1129","MAR09146",7809,"folate[e] <=> ",NA,"Exchange/demand reactions",419.315653155247
"1145","MAR09274",9798,"kynurenine[e] <=> kynurenine[c]","ENSG00000149150 or ENSG00000167703","Transport reactions",1000
"1154","MAR09348",7981,"guanosine[e] <=> ",NA,"Exchange/demand reactions",1000
"1155","MAR09353",7986,"guanine[e] <=> ",NA,"Exchange/demand reactions",996.025617878413
"1159","MAR09361",7994,"inositol[e] <=> ",NA,"Exchange/demand reactions",11.7774776362922
"1170","MAR09423",8054,"thymidine[e] <=> ",NA,"Exchange/demand reactions",999.996390626656
"1171","MAR09437",8068,"uracil[e] <=> ",NA,"Exchange/demand reactions",833.649401996148
"1183","MAR09813",7696,"octanoic acid[e] <=> ",NA,"Exchange/demand reactions",0.00287606027484344
"1223","MAR11304",11181,"L-carnitine[m] + palmitolate[c] <=> L-carnitine[c] + palmitolate[m]",NA,"Transport reactions",499.46156170533
"1228","MAR11438",11315,"phenylpyruvate[e] <=> ",NA,"Exchange/demand reactions",25.0613525208701
"1231","MAR11777",11654,"histamine[e] + SAM[e] => H+[e] + SAH[e] + N-methylhistamine[e]","ENSG00000150540","Transport reactions",327.624129283987
"1235","MAR11808",11685,"Na+[e] + hexadecenoylcarnitine(9)[e] => hexadecenoylcarnitine(9)[c] + Na+[c]","ENSG00000105281 or ENSG00000197375","Transport reactions",276.359185234266
"1238","MAR11930",11807,"N-methylhistamine[e] <=> ",NA,"Exchange/demand reactions",327.624129283987
